id,titulo,accion_previa,estado_esperado,archivo,sha256,fecha_utc,commit,viewport,datos_demo,documentos_consumidores
CAP-01,Inicio y carga,Abrir la aplicación,Carga Manual de Archivos de Datos,capturas/CAP-01_inicio_carga.png,d5f1a775dbed606da22a93ceb09c86bc57ff59aebb35a394dd5760e4ef0284ca,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E01;E05;E06
CAP-02,Carga válida,Cargar los tres CSV de demostración,Estado de los archivos,capturas/CAP-02_carga_valida.png,0f332b8977686fd794332bdbc3b6dee0508a58737ff5ed5edb9c1ee3427378d6,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E05;E06;E08
CAP-03,Preprocesador,Abrir el preprocesador,Generar ronda completa,capturas/CAP-03_preprocesador.png,f42ed0e3954ce32f945e67903680c030e8d3bab2e2680262d244a5e9f15c2ac2,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E05;E06
CAP-04,Homogeneidad previa,Abrir análisis antes de ejecutarlo,Seleccionar nivel PT,capturas/CAP-04_homogeneidad_previa.png,09853b207d4d3672d80786317472d83d483ec037d3236c0cf3eb05648f07f527,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E03;E05;E06
CAP-05,Homogeneidad resultado,Ejecutar y abrir evaluación de homogeneidad,Cálculos Intermedios ANOVA,capturas/CAP-05_homogeneidad_resultado.png,cc4d781644b829ef19ce83001c4a7bc0bfe2c0e6093b2034d8b8f9fbf1b79b7c,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E03;E06;E07;E09
CAP-06,Estabilidad resultado,Abrir evaluación de estabilidad,Conclusión (Método MADe),capturas/CAP-06_estabilidad_resultado.png,a8578d603903c3e30805a2f7c2d1942a7f208966b2b8e2ebd86dfa0f2e10235c,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E03;E06;E07;E09
CAP-07,Incertidumbre H/E,Abrir contribuciones a la incertidumbre,Resumen Incertidumbre por Estabilidad,capturas/CAP-07_incertidumbre_he.png,3ba932645e176211ee5c46399b6000ab9bf1b3be0da7e937eeed802dab7358c5,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E03;E06;E09
CAP-08,Valores atípicos,Abrir valores atípicos,Visualización de Datos de Participantes,capturas/CAP-08_valores_atipicos.png,1cc6626a4a6e0a75d1261369a564d55c5981a612a747ff81c229524a7174f9aa,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E03;E06;E07
CAP-09,Algoritmo A,Calcular Algoritmo A,Detalle por Participante por Iteración,capturas/CAP-09_algoritmo_a.png,42fd3c451daec1195e08dd6cd10a8fd6a1dc4deb7778a7e7d8ffbb7cb21307af,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E02;E03;E06;E09
CAP-10,Valor consenso,Calcular y abrir valor consenso,Datos de participantes,capturas/CAP-10_valor_consenso.png,93e07d0b4eed59d0a09725995eca82e85b48b32037c9b1f5a705eb2d66d6430f,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E03;E06;E07;E09
CAP-11,Compatibilidad metrológica,Calcular y abrir compatibilidad,Diferencias entre Valor de Referencia y Consenso,capturas/CAP-11_compatibilidad_metrologica.png,03ea6d8474190b82f781b5d73bfab1601c2ef51675a6569f28fe8caacc0833ba,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E03;E06;E07;E09
CAP-12,Resumen de puntajes,Calcular puntajes,Resumen de evaluación de puntajes,capturas/CAP-12_puntajes_resumen.png,68094bd11f265998f934bb5c6b42fd46a8180b4d13aca688bc4694a3577d058b,2026-07-14T17:14:39.228Z,068ba8edcc88c4c1bc23971c7ee121ad7e91cb90,1440x1200,homogeneity_demo.csv;stability_demo.csv;summary_demo.csv,E04;E06;E07;E09
